City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Minna,NG,9.6139,6.5569,82.24,59,73,4.68,broken clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,61,10.0,broken clouds
81,Port Elizabeth,ZA,-33.918,25.5701,59.09,73,100,12.3,overcast clouds
82,Gamba,GA,-2.65,10.0,76.12,90,95,5.08,overcast clouds
83,Tanggul,ID,-8.1645,113.4525,74.5,90,6,1.63,clear sky
84,Ust-Kuyga,RU,70.0167,135.6,53.65,60,11,2.57,few clouds
85,Snihurivka,UA,47.0758,32.8052,67.89,61,37,2.48,scattered clouds
86,Sakhipur,BD,24.3,90.1833,85.87,86,100,10.89,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,62.91,81,100,14.52,overcast clouds
88,Bima,ID,-8.4667,118.7167,75.92,95,8,2.59,clear sky
89,Mahebourg,MU,-20.4081,57.7,72.25,86,45,8.68,light rain
90,New Norfolk,AU,-42.7826,147.0587,42.66,78,75,1.01,broken clouds
91,Kapit,MY,2.0167,112.9333,74.48,100,96,0.69,overcast clouds
92,Vestmannaeyjar,IS,63.4427,-20.2734,45.82,74,26,29.53,scattered clouds
93,Sikasso,ML,10.9167,-7.0,92.35,34,23,6.15,few clouds
94,Kavaratti,IN,10.5669,72.642,83.26,76,10,16.02,clear sky
95,Vao,NC,-22.6667,167.4833,70.48,74,100,8.08,overcast clouds
96,Tongren,CN,27.7172,109.1853,66.33,91,95,1.39,light rain
97,Esperance,AU,-33.8667,121.9,58.1,49,25,17.0,scattered clouds
98,Boa Vista,BR,2.8197,-60.6733,80.58,83,75,3.44,broken clouds
99,Clyde River,CA,70.4692,-68.5914,30.43,74,97,29.93,light snow
100,Hithadhoo,MV,-0.6,73.0833,83.16,77,100,18.72,light rain
101,Tyler,US,32.3513,-95.3011,86.43,65,75,1.99,broken clouds
102,Beringovskiy,RU,63.05,179.3167,32.81,97,100,4.0,overcast clouds
103,Calabozo,VE,8.9242,-67.4293,89.08,54,88,5.57,overcast clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,20,8.05,few clouds
105,Cape Town,ZA,-33.9258,18.4232,61.88,73,100,4.0,overcast clouds
106,Yeppoon,AU,-23.1333,150.7333,53.38,46,0,6.49,clear sky
107,Yanam,IN,16.7333,82.2167,87.69,48,53,5.82,broken clouds
108,Broome,US,42.2506,-75.833,68.7,58,40,3.0,scattered clouds
109,Kenitra,MA,34.261,-6.5802,74.73,55,93,9.57,overcast clouds
110,Matozinhos,BR,-19.5578,-44.0814,84.63,42,20,2.48,few clouds
111,Sancti Spiritus,CU,21.9297,-79.4425,91.67,37,100,7.58,overcast clouds
112,Shimoda,JP,34.6667,138.95,66.11,78,100,22.44,overcast clouds
113,Saint-Augustin,CA,51.226,-58.6502,47.97,89,100,10.58,overcast clouds
114,Khatanga,RU,71.9667,102.5,21.43,92,100,5.75,overcast clouds
115,Damietta,EG,31.4165,31.8133,73.81,74,0,8.79,clear sky
116,Upernavik,GL,72.7868,-56.1549,35.73,97,25,5.08,scattered clouds
117,Maua,BR,-23.6678,-46.4614,78.37,49,3,4.59,clear sky
118,Adrar,MR,20.5022,-10.0711,99.59,13,42,5.86,scattered clouds
119,Huilong,CN,31.8111,121.655,73.04,91,100,13.29,overcast clouds
120,Hobyo,SO,5.3505,48.5268,79.21,81,28,17.92,scattered clouds
121,Avarua,CK,-21.2078,-159.775,80.65,89,75,13.8,light rain
122,San Francisco Del Mar,MX,16.2333,-94.65,92.46,54,100,8.59,overcast clouds
123,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,80,43,9.91,scattered clouds
124,Kruisfontein,ZA,-34.0033,24.7314,56.88,74,100,8.32,overcast clouds
125,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.89,54,2,31.79,clear sky
126,Santa Cruz De Tenerife,ES,28.4682,-16.2546,73.92,77,75,5.01,broken clouds
127,Saskylakh,RU,71.9167,114.0833,28.29,88,100,6.17,overcast clouds
128,Hualmay,PE,-11.0964,-77.6139,71.47,76,20,9.4,few clouds
129,Aljezur,PT,37.3191,-8.8033,65.61,67,97,3.53,overcast clouds
130,Egvekinot,RU,66.3167,-179.1667,32.5,66,100,8.25,overcast clouds
131,Hoquiam,US,46.9809,-123.8893,57.42,56,75,21.85,broken clouds
132,Jumla,NP,29.2747,82.1838,59.99,87,100,2.26,overcast clouds
133,Fortuna,US,40.5982,-124.1573,68.47,56,90,4.0,overcast clouds
134,Hamilton,US,39.1834,-84.5333,83.55,61,40,1.01,scattered clouds
135,Namatanai,PG,-3.6667,152.4333,77.07,92,100,7.78,moderate rain
136,Caravelas,BR,-17.7125,-39.2481,78.66,70,99,7.85,overcast clouds
137,Caruray,PH,10.3094,119.0128,80.29,86,99,2.28,overcast clouds
138,Lagoa,PT,39.05,-27.9833,58.93,63,96,9.33,overcast clouds
139,Padang,ID,-0.9492,100.3543,77.38,86,100,4.03,overcast clouds
140,Pemangkat,ID,1.1667,108.9667,79.07,86,49,3.33,scattered clouds
141,Bekhtery,UA,46.251,32.2927,70.0,62,9,5.64,clear sky
142,Kavieng,PG,-2.5744,150.7967,82.06,80,100,13.91,moderate rain
143,Manzhouli,CN,49.6,117.4333,46.04,70,83,6.17,broken clouds
144,Carnarvon,AU,-24.8667,113.6333,64.47,77,71,0.0,broken clouds
145,Bodmin,GB,50.4715,-4.7243,57.43,87,40,4.79,scattered clouds
146,Norman Wells,CA,65.282,-126.8329,41.76,85,100,2.8,overcast clouds
147,Saint Anthony,US,45.0205,-93.218,47.3,92,90,4.0,moderate rain
148,Synya,RU,65.3718,58.0387,35.87,67,95,3.58,overcast clouds
149,Cabo San Lucas,MX,22.8909,-109.9124,102.51,30,40,11.5,scattered clouds
150,Provideniya,RU,64.3833,-173.3,41.11,60,0,17.9,clear sky
151,Bethel,US,41.3712,-73.414,81.72,44,1,3.0,clear sky
152,Kabanjahe,ID,3.1001,98.4908,65.16,96,100,3.06,overcast clouds
153,Luderitz,NA,-26.6481,15.1594,59.72,73,8,8.9,clear sky
154,Ilam,NP,26.9167,87.9167,66.65,94,100,5.93,heavy intensity rain
155,Leningradskiy,RU,69.3833,178.4167,30.04,95,55,11.34,broken clouds
156,Lebu,CL,-37.6167,-73.65,57.07,83,1,9.93,clear sky
157,Mar Del Plata,AR,-38.0023,-57.5575,71.62,43,0,17.27,clear sky
158,Zapolyarnyy,RU,69.4154,30.8136,43.88,70,59,18.05,broken clouds
159,Okha,RU,53.5739,142.9478,32.92,93,82,5.35,broken clouds
160,Masallatah,LY,32.6167,14.0,77.7,40,26,12.44,scattered clouds
161,Ternate,ID,0.8,127.4,81.12,79,41,3.47,scattered clouds
162,Aksu,CN,41.1231,80.2644,75.33,13,16,2.8,few clouds
163,Vanavara,RU,60.34,102.2797,38.25,68,19,3.47,few clouds
164,Redlands,US,34.0556,-117.1825,91.69,48,0,1.99,clear sky
165,Khani,GE,41.9563,42.9566,56.77,83,5,4.07,clear sky
166,Yankton,US,42.8711,-97.3973,56.12,94,90,12.66,overcast clouds
167,Guerrero Negro,MX,27.9769,-114.0611,68.99,57,0,19.26,clear sky
168,Chuy,UY,-33.6971,-53.4616,67.14,57,0,6.96,clear sky
169,Oriximina,BR,-1.7656,-55.8661,89.49,53,55,5.75,broken clouds
170,Berlevag,NO,70.8578,29.0864,39.15,81,75,21.85,light rain
171,Micheweni,TZ,-4.9667,39.8333,77.58,78,20,13.71,light rain
172,Pelym,RU,61.0108,61.9978,40.62,64,100,3.62,overcast clouds
173,Port Blair,IN,11.6667,92.75,81.5,83,100,6.73,overcast clouds
174,Aklavik,CA,68.2191,-135.0107,32.99,63,100,11.27,overcast clouds
175,Richards Bay,ZA,-28.783,32.0377,68.86,71,100,11.36,overcast clouds
176,Oranjemund,NA,-28.55,16.4333,57.13,81,17,1.34,few clouds
177,Doha,QA,25.2867,51.5333,96.78,16,0,11.5,clear sky
178,Joigny,FR,47.9829,3.401,66.22,81,0,5.35,clear sky
179,Kjollefjord,NO,70.9457,27.3465,38.98,82,99,22.66,overcast clouds
180,Belmonte,BR,-15.8631,-38.8828,81.1,64,1,8.14,clear sky
181,Castro,BR,-24.7911,-50.0119,72.32,60,86,5.64,overcast clouds
182,Latung,PH,5.5,120.8833,83.07,71,100,3.2,overcast clouds
183,Krasnoselkup,RU,65.7,82.4667,28.87,78,100,18.34,overcast clouds
184,Kattivakkam,IN,13.2167,80.3167,86.07,89,97,13.4,overcast clouds
185,Lufilufi,WS,-13.8745,-171.5986,76.78,72,38,6.8,scattered clouds
186,Laguna,US,38.421,-121.4238,84.24,40,1,3.0,clear sky
187,Bredasdorp,ZA,-34.5322,20.0403,58.28,73,100,6.76,overcast clouds
188,Porto Belo,BR,-27.1578,-48.5531,78.64,60,0,5.79,clear sky
189,Wynyard,AU,-41.0,145.7167,43.99,69,38,7.74,scattered clouds
190,The Pas,CA,53.8251,-101.2541,55.76,34,61,11.79,broken clouds
191,Arman,RU,59.7,150.1667,41.54,92,100,3.06,overcast clouds
192,Pacific Grove,US,36.6177,-121.9166,77.16,79,90,1.99,overcast clouds
193,Constitucion,CL,-35.3333,-72.4167,59.0,87,100,3.33,overcast clouds
194,Pevek,RU,69.7008,170.3133,37.76,67,95,0.87,overcast clouds
195,Totma,RU,59.9747,42.7642,48.24,86,61,3.33,broken clouds
196,Kodiak,US,57.79,-152.4072,47.71,81,40,9.22,scattered clouds
197,Ler,SS,8.3018,30.1418,77.59,76,30,6.58,scattered clouds
198,Sinnamary,GF,5.3833,-52.95,75.72,94,100,7.07,light rain
199,San Patricio,US,28.017,-97.5169,90.28,63,42,16.31,scattered clouds
200,Cabedelo,BR,-6.9811,-34.8339,81.27,80,13,15.32,few clouds
201,Faya,SA,18.3851,42.4509,75.72,28,3,9.22,clear sky
202,Itapirapua,BR,-15.8233,-50.6133,95.32,26,38,4.07,scattered clouds
203,Preeceville,CA,51.95,-102.6677,55.47,44,15,14.05,few clouds
204,Tiksi,RU,71.6872,128.8694,34.03,95,100,5.41,overcast clouds
205,Atasu,KZ,48.6814,71.6433,63.61,42,98,18.79,overcast clouds
206,Puerto Lempira,HN,15.2667,-83.7667,89.74,70,40,0.0,scattered clouds
207,Anadyr,RU,64.75,177.4833,39.7,80,75,3.67,broken clouds
208,Tynda,RU,55.1667,124.7167,39.79,87,100,2.86,overcast clouds
209,Solnechnyy,RU,50.7214,136.6319,38.84,93,31,3.29,scattered clouds
210,Iskilip,TR,40.7353,34.4739,64.49,55,91,3.38,overcast clouds
211,Nikolskoye,RU,59.7035,30.7861,53.4,99,100,4.34,light rain
212,Forest Grove,US,45.5198,-123.1107,62.24,73,90,8.99,overcast clouds
213,Henties Bay,NA,-22.116,14.2845,61.86,74,0,9.17,clear sky
214,Carutapera,BR,-1.195,-46.02,83.71,73,22,8.84,few clouds
215,Trincomalee,LK,8.5711,81.2335,82.04,78,2,25.52,clear sky
216,Leshukonskoye,RU,64.8989,45.7622,37.54,97,100,4.9,overcast clouds
217,Alta Floresta,BR,-9.8756,-56.0861,88.02,52,6,3.53,clear sky
218,Silver City,US,32.7701,-108.2803,83.91,9,1,8.99,clear sky
219,Grindavik,IS,63.8424,-22.4338,49.55,61,40,27.45,scattered clouds
220,Saint George,US,37.1041,-113.5841,91.87,11,1,3.0,clear sky
221,Ambilobe,MG,-13.2,49.05,70.47,89,18,2.84,few clouds
222,Carauari,BR,-4.8828,-66.8958,87.55,58,96,2.01,overcast clouds
223,Chingirlau,KZ,51.095,54.0814,67.26,52,85,11.03,overcast clouds
224,Boende,CD,-0.2167,20.8667,77.72,67,100,2.75,overcast clouds
225,Yumen,CN,40.2833,97.2,70.5,17,100,8.97,overcast clouds
226,Shache,CN,38.4167,77.2406,73.87,20,0,4.85,clear sky
227,Ardmore,US,34.1743,-97.1436,84.65,70,90,11.99,overcast clouds
228,Belozerskoye,RU,55.8214,65.5842,47.66,66,31,5.82,scattered clouds
229,Cap Malheureux,MU,-19.9842,57.6142,72.46,77,5,3.0,light rain
230,Kismayo,SO,-0.3582,42.5454,78.44,79,48,12.64,scattered clouds
231,Coquimbo,CL,-29.9533,-71.3436,55.13,94,75,5.61,broken clouds
232,Alofi,NU,-19.0595,-169.9187,77.77,79,20,7.38,few clouds
233,Den Helder,NL,52.9599,4.7593,54.01,84,75,10.36,broken clouds
234,La Ronge,CA,55.1001,-105.2842,57.0,34,96,15.01,overcast clouds
235,Pinega,RU,64.7001,43.3936,38.05,95,100,3.98,overcast clouds
236,Kieta,PG,-6.2167,155.6333,77.58,92,100,5.77,light rain
237,Killarney,IE,52.05,-9.5167,51.85,93,90,4.03,overcast clouds
238,Vila Velha,BR,-20.3297,-40.2925,80.96,81,98,4.0,light rain
239,Hohhot,CN,40.8106,111.6522,50.29,32,0,5.28,clear sky
240,Dunedin,NZ,-45.8742,170.5036,48.79,74,100,10.0,overcast clouds
241,San Cristobal,VE,7.7669,-72.225,73.58,68,74,6.82,broken clouds
242,College,US,64.8569,-147.8028,57.15,47,75,8.05,broken clouds
243,Sao Filipe,CV,14.8961,-24.4956,73.49,78,1,11.68,clear sky
244,Kununurra,AU,-15.7667,128.7333,73.38,33,5,10.36,clear sky
245,Fare,PF,-16.7,-151.0167,80.47,68,8,9.13,clear sky
246,Kamenka,RU,51.3223,42.7678,60.51,69,21,5.35,few clouds
247,Malindi,KE,-3.2175,40.1191,77.7,79,12,16.33,light rain
248,Newala,TZ,-10.9431,39.2787,61.05,75,4,4.47,clear sky
249,Abha,SA,18.2164,42.5053,75.45,12,0,7.4,clear sky
250,Port Keats,AU,-14.25,129.55,68.86,50,30,10.74,scattered clouds
251,Westport,US,41.1415,-73.3579,84.06,38,1,3.0,clear sky
252,Kangaba,ML,11.9333,-8.4167,94.28,29,90,7.09,overcast clouds
253,Melo,UY,-32.3667,-54.1833,66.74,65,0,7.23,clear sky
254,Niquelandia,BR,-14.4739,-48.4597,90.23,32,8,3.38,clear sky
255,Weligama,LK,5.9667,80.4167,79.32,87,97,15.17,overcast clouds
256,Shizunai,JP,42.3339,142.3669,51.24,98,100,7.34,overcast clouds
257,Aden,YE,12.7794,45.0367,88.34,60,72,14.54,broken clouds
258,Asau,RO,46.4333,26.4,63.39,100,100,2.77,overcast clouds
259,Gushikawa,JP,26.3544,127.8686,78.8,92,75,9.44,broken clouds
260,Tual,ID,-5.6667,132.75,81.66,76,30,23.6,scattered clouds
261,Alassio,IT,44.0039,8.1671,68.16,79,20,3.87,few clouds
262,Bonito,BR,-21.1211,-56.4819,87.71,40,100,6.38,overcast clouds
263,Palana,RU,59.1167,159.9667,31.68,99,100,7.56,snow
264,Acapulco,MX,16.8634,-99.8901,89.42,58,75,9.22,broken clouds
265,Sarkand,KZ,45.41,79.9186,67.44,47,100,6.38,overcast clouds
266,Ballarat,AU,-37.5662,143.8496,45.5,86,100,7.9,overcast clouds
267,Zyryanovsk,KZ,49.7386,84.2719,61.9,77,100,5.01,overcast clouds
268,Fairlie,GB,55.756,-4.8556,60.85,68,100,4.0,overcast clouds
269,Port Hedland,AU,-20.3167,118.5667,75.25,53,100,4.61,light rain
270,Malinovoye Ozero,RU,51.6753,79.7825,57.13,54,0,14.05,clear sky
271,Buala,SB,-8.145,159.5921,76.26,93,100,5.99,heavy intensity rain
272,Umm Lajj,SA,25.0213,37.2685,88.38,47,96,6.62,overcast clouds
273,Alice Springs,AU,-23.7,133.8833,35.15,69,81,7.09,broken clouds
274,Banjar,ID,-8.19,114.9675,80.46,89,4,3.18,clear sky
275,Shihezi,CN,44.3,86.0333,75.85,29,59,8.12,broken clouds
276,Tibati,CM,6.4667,12.6333,69.44,92,39,4.54,moderate rain
277,Caborca,MX,30.5838,-111.101,87.49,8,0,10.89,clear sky
278,Dossor,KZ,47.5272,52.9811,79.56,40,100,17.96,overcast clouds
279,Ugoofaaru,MV,5.6667,73.0,82.94,78,100,22.68,overcast clouds
280,Shingu,JP,33.7333,135.9833,62.91,86,100,5.03,overcast clouds
281,Srednekolymsk,RU,67.45,153.6833,49.59,52,97,12.71,overcast clouds
282,Margate,GB,51.3813,1.3862,61.18,73,93,1.99,overcast clouds
283,Caceres,ES,39.522,-6.3748,73.8,44,100,2.28,light rain
284,Dubbo,AU,-32.25,148.6167,35.73,100,0,3.44,clear sky
285,Strangnas,SE,59.3774,17.0312,45.14,97,100,11.3,overcast clouds
286,North Bend,US,43.4065,-124.2243,59.92,84,90,12.66,overcast clouds
287,Nisia Floresta,BR,-6.0911,-35.2086,83.21,76,9,12.35,clear sky
288,Tuatapere,NZ,-46.1333,167.6833,49.82,92,100,3.02,overcast clouds
289,Prince Rupert,CA,54.3161,-130.3201,51.13,81,100,6.15,overcast clouds
290,Wanaka,NZ,-44.7,169.15,36.1,98,93,5.01,light rain
291,Andenes,NO,69.3143,16.1194,44.08,81,75,18.41,broken clouds
292,Hit,IQ,33.6416,42.8251,93.63,11,0,10.65,clear sky
293,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,56,75,14.97,broken clouds
294,Enshi,CN,30.3,109.4833,63.68,76,100,1.61,light rain
295,Isabela,PH,6.7085,121.9711,78.44,86,87,2.01,overcast clouds
296,Victoria,HK,22.2855,114.1577,86.32,84,98,3.0,overcast clouds
297,Krasnozerskoye,RU,53.9828,79.2374,47.68,61,5,14.27,clear sky
298,Geraldton,AU,-28.7667,114.6,66.61,48,90,7.02,overcast clouds
299,Puerto Madryn,AR,-42.7692,-65.0385,61.95,34,2,27.49,clear sky
300,Lokosovo,RU,61.1333,74.8167,38.68,65,73,11.12,broken clouds
301,Mananjary,MG,-21.2167,48.3333,68.52,88,1,3.44,clear sky
302,Rozkishne,UA,48.5074,39.3004,66.54,62,100,4.5,overcast clouds
303,Mountain Home,US,43.133,-115.6912,76.8,19,20,8.9,few clouds
304,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,64,99,10.33,overcast clouds
305,Lakshmipur,BD,22.95,90.8333,83.12,85,98,15.14,overcast clouds
306,Wairoa,NZ,-39.0333,177.3667,39.54,98,94,3.0,overcast clouds
307,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,9.22,scattered clouds
308,Soyo,AO,-6.1349,12.3689,77.09,87,100,7.58,overcast clouds
