City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sao Joao Da Barra,BR,2021-05-23 18:11:57,-21.6403,-41.0511,79.16,68,99,8.59
68,Afsin,TR,2021-05-23 18:15:56,38.2477,36.914,53.22,65,79,10.96
69,Cidreira,BR,2021-05-23 18:15:57,-30.1811,-50.2056,60.6,65,17,26.87
70,Malia,GR,2021-05-23 18:15:57,35.2833,25.4667,73.02,51,4,5.21
71,Lyuban,BY,2021-05-23 18:15:57,52.7985,28.0048,51.91,92,46,6.78
72,Kapaa,US,2021-05-23 18:11:06,22.0752,-159.319,78.78,71,75,5.5
73,Mar Del Plata,AR,2021-05-23 18:15:16,-38.0023,-57.5575,59.0,37,75,11.01
74,San Fernando,PH,2021-05-23 18:15:58,15.0286,120.6898,82.96,86,41,2.17
75,Sorland,NO,2021-05-23 18:15:58,67.667,12.6934,48.27,70,100,14.29
76,Aswan,EG,2021-05-23 18:15:59,24.0934,32.907,86.47,13,0,10.92
77,Thunder Bay,CA,2021-05-23 18:15:59,48.4001,-89.3168,49.91,37,75,14.97
78,Sur,OM,2021-05-23 18:16:00,22.5667,59.5289,88.09,63,0,13.0
79,Cherskiy,RU,2021-05-23 18:16:00,68.75,161.3,36.79,66,25,3.22
80,Kaitangata,NZ,2021-05-23 18:16:00,-46.2817,169.8464,47.93,83,90,5.06
81,Barcelona,ES,2021-05-23 18:13:46,41.3888,2.159,63.97,77,20,1.01
82,Bintulu,MY,2021-05-23 18:16:01,3.1667,113.0333,79.21,94,20,4.61
83,Ponta Do Sol,PT,2021-05-23 18:16:01,32.6667,-17.1,68.0,58,84,6.73
84,Ngunguru,NZ,2021-05-23 18:16:02,-35.6167,174.5,56.16,76,100,19.42
85,Carnarvon,AU,2021-05-23 18:16:02,-24.8667,113.6333,59.07,100,93,0.0
86,Linhares,BR,2021-05-23 18:12:15,-19.3911,-40.0722,89.37,35,84,6.89
87,Seoul,KR,2021-05-23 18:14:45,37.5683,126.9778,62.11,63,75,4.14
88,Mahebourg,MU,2021-05-23 18:16:03,-20.4081,57.7,73.69,83,40,8.05
89,Paita,PE,2021-05-23 18:16:03,-5.0892,-81.1144,77.56,71,89,8.7
90,Beira,MZ,2021-05-23 18:15:24,-19.8436,34.8389,73.49,68,40,13.22
91,Winfield,US,2021-05-23 18:15:29,37.2398,-96.9956,73.81,83,90,14.97
92,Abu Samrah,SY,2021-05-23 18:16:04,35.3029,37.1841,69.24,50,1,14.36
93,Ust-Nera,RU,2021-05-23 18:16:04,64.5667,143.2,36.23,94,88,2.89
94,Bengkulu,ID,2021-05-23 18:16:05,-3.8004,102.2655,76.15,90,95,3.09
95,Bisira,PA,2021-05-23 18:16:05,8.5196,-81.7115,69.78,76,99,4.61
96,Arcata,US,2021-05-23 18:16:05,40.8665,-124.0828,64.2,72,1,1.01
97,Kiunga,PG,2021-05-23 18:16:06,-6.1219,141.2906,72.84,99,100,2.28
98,Tiksi,RU,2021-05-23 18:16:06,71.6872,128.8694,25.66,79,52,9.15
99,Hobyo,SO,2021-05-23 18:16:07,5.3505,48.5268,79.3,76,65,22.01
100,Manokwari,ID,2021-05-23 18:16:07,-0.8667,134.0833,78.51,85,100,5.01
101,Ahipara,NZ,2021-05-23 18:16:07,-35.1667,173.1667,58.62,72,100,16.8
102,Lasa,IT,2021-05-23 18:16:08,46.6166,10.7002,59.88,89,89,2.1
103,Kidal,ML,2021-05-23 18:16:08,18.4411,1.4078,98.29,18,52,14.7
104,Beitbridge,ZW,2021-05-23 18:16:08,-22.2167,30.0,61.66,62,4,8.08
105,Nelson Bay,AU,2021-05-23 18:16:09,-32.7167,152.15,60.01,95,56,0.94
106,Imbituba,BR,2021-05-23 18:16:09,-28.24,-48.6703,76.89,42,2,3.56
107,Anadyr,RU,2021-05-23 18:16:09,64.75,177.4833,34.3,97,40,1.99
108,Ouadda,CF,2021-05-23 18:16:10,8.0777,22.4007,77.92,60,100,7.07
109,Yulara,AU,2021-05-23 18:16:10,-25.2406,130.9889,64.24,45,75,4.61
110,Longyearbyen,SJ,2021-05-23 18:15:22,78.2186,15.6401,28.24,54,0,13.8
111,Egvekinot,RU,2021-05-23 18:16:10,66.3167,-179.1667,27.27,88,91,4.45
112,Dikson,RU,2021-05-23 18:16:11,73.5069,80.5464,30.94,96,100,17.27
113,Leshukonskoye,RU,2021-05-23 18:16:11,64.8989,45.7622,39.0,59,53,5.06
114,Thompson,CA,2021-05-23 18:16:11,55.7435,-97.8558,57.36,41,20,12.66
115,Torfyanoy,RU,2021-05-23 18:16:12,58.4916,49.1979,57.78,63,100,5.46
116,Aklavik,CA,2021-05-23 18:16:12,68.2191,-135.0107,35.6,87,75,14.97
117,Villa Carlos Paz,AR,2021-05-23 18:16:13,-31.4241,-64.4978,62.89,32,0,3.0
118,Provideniya,RU,2021-05-23 18:16:13,64.3833,-173.3,35.85,84,100,9.73
119,Boyolangu,ID,2021-05-23 18:16:13,-8.1181,111.8935,74.3,89,80,1.16
120,Kavieng,PG,2021-05-23 18:16:14,-2.5744,150.7967,80.06,84,98,8.48
121,Emba,KZ,2021-05-23 18:16:14,48.8264,58.1442,74.75,28,39,9.01
122,Dunedin,NZ,2021-05-23 18:16:15,-45.8742,170.5036,49.8,67,100,13.0
123,Erzin,TR,2021-05-23 18:16:15,36.9559,36.2,75.92,46,6,9.93
124,Hilo,US,2021-05-23 18:15:48,19.7297,-155.09,79.61,83,20,0.0
125,Takoradi,GH,2021-05-23 18:16:16,4.8845,-1.7554,82.04,78,77,9.46
126,Chuy,UY,2021-05-23 18:16:16,-33.6971,-53.4616,56.7,90,83,21.03
127,Nuuk,GL,2021-05-23 18:16:16,64.1835,-51.7216,34.41,80,75,29.93
128,Binga,ZW,2021-05-23 18:16:17,-17.6203,27.3414,67.12,55,3,0.76
129,Arraial Do Cabo,BR,2021-05-23 18:16:17,-22.9661,-42.0278,84.16,74,0,3.44
130,Talnakh,RU,2021-05-23 18:16:18,69.4865,88.3972,37.2,100,100,5.01
131,Buin,CL,2021-05-23 18:16:18,-33.7333,-70.75,70.09,11,2,1.52
132,Beringovskiy,RU,2021-05-23 18:16:18,63.05,179.3167,31.71,98,100,9.24
133,Zabol,AF,2021-05-23 18:16:19,32.25,67.25,67.73,13,0,9.44
134,Warnes,BO,2021-05-23 18:16:19,-17.5,-63.1667,67.41,37,100,11.74
135,Torbay,CA,2021-05-23 18:16:19,47.6666,-52.7314,56.17,71,90,37.98
136,Karakol,KG,2021-05-23 18:16:20,42.4907,78.3936,53.04,73,100,3.02
137,Sioux Lookout,CA,2021-05-23 18:16:20,50.1001,-91.917,51.87,62,75,10.36
